1716692400000,68900.00000000,68940.00000000,68888.82000000,68903.44000000,0.37313000,1716692699999,25715.55460600,68,0.16341000,11262.30685840,0
1716692700000,68903.44000000,68924.00000000,68873.71000000,68923.08000000,0.70981000,1716692999999,48909.56328800,335,0.34741000,23940.18877400,0
1716693000000,68923.08000000,68960.00000000,68920.62000000,68952.02000000,0.21345000,1716693299999,14715.13691050,66,0.13818000,9526.43846640,0
1716693300000,68955.99000000,68991.64000000,68926.88000000,68940.01000000,0.53760000,1716693599999,37073.38242170,91,0.13397000,9236.99800440,0
1716693600000,68946.33000000,68952.00000000,68916.01000000,68931.85000000,0.45786000,1716693899999,31559.45622470,123,0.36959000,25475.33397820,0
1716693900000,68931.84000000,68940.00000000,68912.00000000,68923.29000000,0.35286000,1716694199999,24322.63201050,140,0.17438000,12019.40434230,0
1716694200000,68930.13000000,68948.00000000,68920.01000000,68948.00000000,0.75850000,1716694499999,52285.49315380,86,0.58094000,40045.96427240,0
1716694500000,68948.00000000,69007.99000000,68948.00000000,68996.01000000,1.10051000,1716694799999,75908.87278370,108,0.75376000,51988.70027490,0
1716694800000,68996.01000000,69012.00000000,68970.69000000,69012.00000000,0.80942000,1716695099999,55841.01741380,105,0.35428000,24441.59140990,0
1716695100000,69025.16000000,69118.97000000,68995.15000000,69118.97000000,0.54926000,1716695399999,37924.10745320,99,0.39275000,27113.87383390,0
1716695400000,69119.84000000,69124.00000000,69058.97000000,69089.72000000,1.35642000,1716695699999,93727.52286900,112,0.37679000,26034.20782650,0
1716695700000,69089.72000000,69089.72000000,69017.03000000,69063.99000000,3.74086000,1716695999999,258294.27041100,387,0.61786000,42660.39776420,0
1716696000000,69048.00000000,69048.00000000,68978.94000000,68978.94000000,0.73350000,1716696299999,50626.54140240,74,0.11857000,8182.37301670,0
1716696300000,68973.84000000,69007.58000000,68958.41000000,68958.41000000,1.32985000,1716696599999,91745.19609130,153,0.95783000,66078.26896170,0
1716696600000,68958.41000000,68964.00000000,68931.79000000,68931.79000000,0.55917000,1716696899999,38556.58348600,114,0.16267000,11217.35306480,0
1716696900000,68931.79000000,68975.99000000,68931.79000000,68975.98000000,0.63789000,1716697199999,43982.75877600,143,0.58594000,40400.22099050,0
1716697200000,68976.23000000,68995.99000000,68968.01000000,68975.46000000,0.63926000,1716697499999,44099.37882380,103,0.21313000,14701.20556380,0
1716697500000,68987.99000000,68999.98000000,68975.80000000,68992.01000000,0.54706000,1716697799999,37739.97086440,114,0.23216000,16015.39075960,0
1716697800000,68992.01000000,68996.00000000,68936.00000000,68936.01000000,0.49892000,1716698099999,34416.60740640,99,0.10920000,7533.83629770,0
1716698100000,68938.40000000,68954.61000000,68919.98000000,68954.61000000,0.60823000,1716698399999,41924.09929780,101,0.36222000,24966.32229810,0
1716698400000,68954.61000000,68983.94000000,68954.60000000,68983.94000000,0.47491000,1716698699999,32754.90521070,104,0.37375000,25777.25360350,0
1716698700000,68983.93000000,68983.93000000,68933.94000000,68933.94000000,0.24155000,1716698999999,16656.96418110,89,0.10127000,6982.76782010,0
1716699000000,68933.94000000,68966.37000000,68933.94000000,68966.37000000,0.11313000,1716699299999,7799.72716670,20,0.10854000,7483.19529480,0
1716699300000,68968.44000000,68968.45000000,68956.00000000,68963.98000000,0.15232000,1716699599999,10504.51666910,30,0.03489000,2405.92036150,0
1716699600000,68958.82000000,68963.99000000,68928.09000000,68928.09000000,0.04066000,1716699899999,2803.59128810,37,0.02583000,1781.02879370,0
1716699900000,68928.09000000,68948.00000000,68910.94000000,68941.36000000,0.72230000,1716700199999,49780.15981150,94,0.41220000,28406.31627440,0
1716700200000,68941.36000000,68941.37000000,68920.00000000,68920.00000000,0.19711000,1716700499999,13587.70608080,63,0.09465000,6524.52910190,0
1716700500000,68916.20000000,68968.64000000,68916.19000000,68960.01000000,0.50319000,1716700799999,34693.18264880,57,0.36883000,25428.81751570,0
1716700800000,68966.49000000,68966.89000000,68960.00000000,68960.01000000,0.10398000,1716701099999,7170.87276700,42,0.02449000,1688.89579510,0
1716701100000,68963.99000000,68988.00000000,68960.01000000,68960.01000000,0.50337000,1716701399999,34719.66998500,106,0.36398000,25105.22141500,0
1716701400000,68949.66000000,69020.00000000,68949.66000000,69016.90000000,0.36672000,1716701699999,25298.67913770,52,0.25624000,17674.75690470,0
1716701700000,69016.90000000,69062.36000000,69012.00000000,69044.00000000,2.26062000,1716701999999,156061.84173190,145,1.73072000,119476.96609140,0
1716702000000,69044.00000000,69049.63000000,69028.20000000,69036.49000000,0.71031000,1716702299999,49039.75338000,64,0.30827000,21281.65316360,0
1716702300000,69036.01000000,69045.95000000,69022.03000000,69045.95000000,0.22541000,1716702599999,15560.16643850,48,0.13037000,8999.11370550,0
1716702600000,69045.95000000,69080.00000000,69045.95000000,69076.00000000,1.16669000,1716702899999,80580.70659230,91,0.79495000,54903.11807300,0
1716702900000,69069.48000000,69123.99000000,69069.48000000,69123.99000000,0.55318000,1716703199999,38225.10163640,74,0.52980000,36609.64338480,0
1716703200000,69123.33000000,69168.00000000,69100.00000000,69100.01000000,1.32849000,1716703499999,91841.55343040,120,0.62879000,43467.78512080,0
1716703500000,69100.04000000,69156.00000000,69100.04000000,69140.35000000,0.86980000,1716703799999,60134.88170480,435,0.52396000,36220.66717600,0
1716703800000,69140.35000000,69164.00000000,69140.35000000,69148.00000000,0.58346000,1716704099999,40348.26723940,381,0.43806000,30292.77829760,0
1716704100000,69144.01000000,69144.01000000,69093.41000000,69093.41000000,1.09844000,1716704399999,75920.71803730,158,0.37396000,25844.31781250,0
1716704400000,69099.99000000,69112.52000000,69076.98000000,69076.98000000,0.41394000,1716704699999,28605.35758640,72,0.08916000,6160.93977910,0
1716704700000,69076.99000000,69100.00000000,69076.99000000,69080.44000000,1.34936000,1716704999999,93233.44014950,885,0.51959000,35900.04391530,0
